,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
217,경기,가양초 비금분교장,1989,구리남양주,초,대부,경기도 남양주시 수동면 내방리 325-3
218,경기,가평초 이화분교장,1989,가평,초,자체활용,경기도 가평군 가평읍  이화리 220
219,경기,강남초,1994,양평,초,대부,경기도 양평군 강하면 동오리 178-1
220,경기,강천초 강남분교장,1999,여주,초,대부,경기도 여주시 강천면 굴암리 9-3
221,경기,강천초 걸은분교장,2002,여주,초,대부,경기도 여주시 강천면 걸은리 625-1
222,경기,계정초,2007,양평,초,대부,경기도 양평군 양동면 계정리 1000
223,경기,고삼초고동분교장,1994,안성,초,대부,경기도 안성시 고삼면 쌍지리 769-2
224,경기,공제초,1996,안성,초,대부,경기도 안성시 공도읍 불당리 63-2
225,경기,관인초 사정분교장,1992,포천,초,대부,경기도 포천시 관인면 사정리 136-1
226,경기,군남초 북삼분교장,1991,연천,초,대부,경기도 연천군 왕징면  북삼리 160-4
227,경기,군서중,2021,시흥,중,자체활용,경기도 시흥시 정왕동 1605
228,경기,금곡초,1998,파주,초,대부,경기도 파주시 법원읍 금곡리 336-5
229,경기,금광초 대문분교장,1996,안성,초,자체활용,경기도 안성시 금광면 현곡리 53-3
230,경기,금왕초,1994,양평,초,대부,경기도 양평군 양동면 금왕리 732
231,경기,금주초,2022,포천,초,미활용,경기도 포천시 영중면 금주리 522-1
232,경기,기흥중,2019,본청,중,자체활용,경기도 용인시 기흥구 신갈동 2-3
233,경기,남사초 서촌분교장,1991,용인,초,대부,경기도 처인구 남사읍 통삼리 239-1외 2필지
234,경기,남양주송촌초 시우분교장,1992,구리남양주,초,대부,경기도 남양주시 조안면 시우리 122-20
235,경기,냉정초,1990,포천,초,미활용,경기도 포천시 관인면 냉정리 339
236,경기,대광초 내산분교장,1989,연천,초,자체활용,경기도 연천군 신서면 내산리 154-1
237,경기,대광초 신탄분교장,1990,연천,초,자체활용,경기도 연천군 신서면 대광리 174
238,경기,대동초 선감분교장,1990,안산,초,자체활용,경기도 안산시 단원구 선감동 667-2
239,경기,대신초 옥촌분교장,1999,여주,초,대부,경기도 여주시 대신면 옥촌리 831-1
